date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:05	1850566/1850566	---M--	200	added ('OK')	video/webm	date:Fri,%2027%20May%202022%2007:47:24%20GMT	https://www.shgtechnologies.com/videos/Visually%20impaired%20can%20now%20SEE%20-%20Smart%20Vision%20Glass%20noaudio.webm	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/videos/Visually%20impaired%20can%20now%20SEE%20-%20Smart%20Vision%20Glass%20noaudio.webm	(from https://www.shgtechnologies.com/)
21:51:05	6609/6609	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Jan%202023%2016:21:05%20GMT	https://www.shgtechnologies.com/videos/An%20Indian%20Invention%20for%20Visually%20Impaired.webm	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/videos/An%20Indian%20Invention%20for%20Visually%20Impaired.webm	(from https://www.shgtechnologies.com/)
21:51:05	32941/32941	---MC-	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:21:05%20GMT	https://www.shgtechnologies.com/privacy-policy	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/privacy-policy.html	(from https://www.shgtechnologies.com/)
21:51:06	30124/30124	---MC-	200	added ('OK')	text/html	date:Thu,%2019%20Jan%202023%2016:21:06%20GMT	https://www.shgtechnologies.com/terms-conditions	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/terms-conditions.html	(from https://www.shgtechnologies.com/)
21:51:06	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/webproduct/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://www.shgtechnologies.com/)
21:51:06	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	C:/My%20Web%20Sites/webproduct/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from https://www.shgtechnologies.com/)
21:51:07	60010/60010	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	C:/My%20Web%20Sites/webproduct/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from https://www.shgtechnologies.com/)
21:51:08	370/370	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Jan%202023%2016:21:08%20GMT	https://www.shgtechnologies.com/panel/dashboard	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/panel/dashboard.17.delayed	(from https://www.shgtechnologies.com/)
21:51:08	0/-1	---M--	302	error ('')			https://www.shgtechnologies.com/panel/dashboard	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/panel/dashboard.18.delayed	(from https://www.shgtechnologies.com/)
21:51:09	370/370	---MC-	302	error ('Found')	text/html	date:Thu,%2019%20Jan%202023%2016:21:09%20GMT	https://www.shgtechnologies.com/report	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/report	(from https://www.shgtechnologies.com/)
21:51:10	135242/135242	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jun%202022%2005:42:50%20GMT	https://www.shgtechnologies.com/images/DJRaju-director.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/DJRaju-director.png	(from https://www.shgtechnologies.com/about-us)
21:51:11	31825/31825	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jun%202022%2005:58:13%20GMT	https://www.shgtechnologies.com/images/associates.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/associates.png	(from https://www.shgtechnologies.com/about-us)
21:51:11	95732/95732	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jun%202022%2006:53:29%20GMT	https://www.shgtechnologies.com/images/world_map.png	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/images/world_map.png	(from https://www.shgtechnologies.com/about-us)
21:51:11	0/-1	---M--	302	error ('')			https://www.shgtechnologies.com/panel/dashboard	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/panel/dashboard.1e.delayed	(from https://www.shgtechnologies.com/about-us)
21:51:11	0/-1	---M--	302	error ('')			https://www.shgtechnologies.com/panel/dashboard	C:/My%20Web%20Sites/webproduct/www.shgtechnologies.com/panel/dashboard.1f.delayed	(from https://www.shgtechnologies.com/about-us)
